Date,Price,Open,High,Low,Vol.,Change %
2015/12/16,3.79,3.718,3.84,3.7072,,4.10%
2015/12/15,3.6407,3.83,3.865,3.7254,,-2.97%
2015/12/14,3.7521,3.83,3.86,3.7811,,-1.26%
2015/12/11,3.8,3.83,3.8625,3.79,,0.74%
2015/12/10,3.7719,3.83,3.8575,3.75,,2.57%
2015/12/9,3.6775,3.83,3.855,3.7388,,-3.22%
2015/12/8,3.8,3.83,3.85,3.745,,1.78%
2015/12/7,3.7334,3.83,3.8538,3.7617,,1.04%
2015/12/4,3.695,3.83,3.835,3.7475,,-2.25%
2015/12/3,3.78,3.83,3.8425,3.7481,,1.49%
2015/12/2,3.7244,3.83,3.845,3.7481,,0.00%
2015/12/1,3.7244,3.83,3.85,3.7481,,-0.24%
2015/11/30,3.7334,3.83,3.8575,3.7004,,-2.01%
2015/11/27,3.81,3.83,3.8575,3.7662,,1.87%
2015/11/26,3.74,3.83,3.8575,3.765,,3.87%
2015/11/25,3.6007,3.83,3.8563,3.7004,,-5.74%
2015/11/24,3.82,3.83,3.8875,3.7369,,2.02%
2015/11/23,3.7445,3.775,3.86,3.7723,,-1.48%
2015/11/20,3.8009,3.775,3.85,3.7296,,3.36%
2015/11/19,3.6775,3.827,3.89,3.7388,,-1.00%
2015/11/18,3.7146,3.79,3.8775,3.75,,-2.25%
2015/11/17,3.8,3.79,3.855,3.7388,,0.00%
2015/11/16,3.8,3.79,3.86,3.77,,0.00%
2015/11/13,3.8,3.79,3.85,3.7275,,-0.26%
2015/11/12,3.81,3.79,3.84,3.7625,,0.13%
2015/11/11,3.805,3.79,3.855,3.7625,,0.13%
2015/11/10,3.8,3.79,3.89,3.77,,1.28%
2015/11/9,3.7521,3.795,3.84,3.77,,0.00%
2015/11/6,3.7521,3.89,3.89,3.7117,,-0.99%
2015/11/5,3.7896,3.89,3.89,3.735,,-0.25%
2015/11/4,3.7992,3.89,3.89,3.7275,,-0.79%
2015/11/3,3.8296,3.89,3.89,3.7325,,-1.03%
2015/11/2,3.8696,3.805,3.915,3.74,,5.16%
2015/10/30,3.6796,3.835,3.9075,3.7398,,-2.39%
2015/10/29,3.7696,3.81,3.9,3.73,,0.01%
2015/10/28,3.7692,3.825,3.9,3.725,,-0.80%
2015/10/27,3.7996,3.825,3.875,3.725,,0.80%
2015/10/26,3.7696,3.825,3.895,3.725,,0.83%
2015/10/23,3.7384,3.825,3.885,3.7605,,-1.09%
2015/10/22,3.7796,3.83,3.9,3.7325,,-0.54%
2015/10/21,3.8,3.86,3.895,3.715,,-1.80%
2015/10/20,3.8696,3.9,3.915,3.75,,-0.01%
2015/10/19,3.87,3.82,3.915,3.765,,2.95%
2015/10/16,3.7592,3.82,3.9,3.7525,,0.56%
2015/10/15,3.7384,3.7504,3.8875,3.6906,,-1.36%
2015/10/14,3.79,3.77,3.88,3.6775,,1.37%
2015/10/13,3.7388,3.77,3.85,3.635,,-1.35%
2015/10/12,3.79,3.77,3.94,3.665,,1.08%
2015/10/9,3.7496,3.77,3.825,3.725,,0.27%
2015/10/8,3.7396,3.79,3.93,3.715,,1.00%
2015/10/7,3.7026,3.93,3.93,3.71,,-0.76%
2015/10/6,3.7309,3.905,3.9052,3.69,,1.11%
2015/10/5,3.69,3.795,3.825,3.67,,1.37%
2015/10/2,3.64,3.7138,3.815,3.6634,,-0.09%
2015/10/1,3.6432,3.795,3.9052,3.615,,-2.33%
2015/9/30,3.73,3.76,3.9054,3.675,,-0.43%
2015/9/29,3.7462,3.795,3.94,3.615,,-0.07%
2015/9/28,3.7488,3.8,3.9081,3.705,,-1.35%
2015/9/25,3.8,3.9,3.95,3.7436,,-0.78%
2015/9/24,3.83,3.855,3.915,3.83,,0.02%
2015/9/23,3.8292,3.9,3.9228,3.725,,-0.27%
2015/9/22,3.8396,3.89,4.015,3.775,,-1.27%
2015/9/21,3.8888,4.02,4.03,3.8504,,-0.03%
2015/9/18,3.89,4.02,4.095,3.83,,-0.24%
2015/9/17,3.8992,4.02,4.135,3.865,,-2.28%
2015/9/16,3.99,4.02,4.105,3.82,,1.53%
2015/9/15,3.93,3.905,4.115,3.875,,2.39%
2015/9/14,3.8384,4.02,4.09,3.8667,,-0.02%
2015/9/11,3.8392,3.895,4.115,3.8696,,-0.02%
2015/9/10,3.84,3.905,4.07,3.715,,0.00%
2015/9/9,3.84,3.905,4.0725,3.7063,,0.01%
2015/9/8,3.8396,4.05,4.05,3.75,,1.04%
2015/9/7,3.8,3.82,4.05,3.7,,1.33%
2015/9/4,3.75,3.85,3.875,3.625,,0.81%
2015/9/3,3.72,3.85,3.865,3.685,,0.54%
2015/9/2,3.7,3.91,3.935,3.66,,-1.86%
2015/9/1,3.77,3.9,3.9738,3.7,,-2.08%
2015/8/31,3.85,4.02,4.2,3.85,,-3.27%
2015/8/28,3.98,4.09,4.225,3.97,,-1.73%
